epal_length,sepal_width,petal_length,petal_width,species,gender
-0.016,0.538,0.12,-0.272,Bogota,male
0.912,0.969,-0.422,0.44,Bogota,male
0.125,-0.7,-0.155,0.447,Bogota,male
0.711,-0.185,-0.299,0.295,Bogota,male
-0.066,0.562,0.279,0.645,Bogota,male
-0.378,-0.172,0.573,0.26,Bogota,male
0.872,0.727,0.309,-0.368,Bogota,male
0.304,0.183,-0.146,0.734,Bogota,male
-0.166,0.95,0.894,0.452,Bogota,male
0.119,0.519,0.229,-0.059,Bogota,male
0.829,-0.878,0.784,0.917,Caribe,male
0.426,-0.124,0.171,-0.415,Caribe,male
0.028,0.519,0.226,-0.772,Caribe,male
-0.092,-0.053,0.887,0.065,Caribe,male
0.89,0.114,-0.077,0.774,Caribe,male
0.092,0.998,0.783,-0.88,Caribe,male
0.509,-0.692,0.648,0.588,Caribe,male
-0.285,0.763,-0.034,0.668,Caribe,male
0.067,0.553,-0.052,-0.412,Caribe,male
-0.369,0.13,-1,0.249,Caribe,male
-0.454,-0.092,-0.601,0.152,Caribe,male
-0.849,-0.262,0.129,0.592,Caribe,male
0.806,0.14,-0.182,0.574,Caribe,male
-0.664,-0.133,0.9,0.744,Caribe,male
-0.927,0.953,0.617,-0.868,Caribe,male
-0.582,0.609,-0.835,0.568,Caribe,male
0.138,0.25,0.763,-0.058,Caribe,male
-0.699,-0.889,0.479,0.816,Caribe,male
0.778,-0.867,-0.409,0.165,Centro,male
-0.468,-0.495,0.557,-0.407,Centro,male
-0.149,-0.609,0.338,-0.318,Centro,male
-0.757,-0.983,-0.358,-0.603,Centro,male
0.841,0.974,0.135,0.833,Centro,male
0.047,0.889,0.123,-0.414,Centro,male
-0.629,-0.088,0.025,-0.882,Centro,male
0.164,-0.517,0.126,0.95,Centro,male
0.301,-0.125,0.427,0.229,Cafetero,male
0.663,-0.751,0.101,-0.295,Cafetero,male
-0.752,0.293,0.061,0.035,Cafetero,male
0.201,-0.263,0.372,0.797,Cafetero,male
-0.207,0.434,-0.581,-0.727,Cafetero,male
-0.324,0.915,-0.908,-0.775,Cafetero,male
0.019,0.488,0.927,-0.357,Cafetero,male
0.015,0.425,0.177,0.857,Cafetero,male
0.857,0.902,0.394,-0.862,Cafetero,male
0.193,-0.875,0.824,0.487,Cafetero,male
-0.358,-0.818,-0.337,-0.256,Cafetero,male
-0.432,0.291,-0.429,-0.392,Cafetero,male
0.774,-0.488,0.284,-0.813,Cafetero,male
0.636,-0.235,-0.484,0.942,Cafetero,male
0.331,0.184,0.183,0.071,Cafetero,male
0.435,0.892,-0.004,-0.449,Cafetero,female
0.115,0.783,0.411,-0.948,Cafetero,female
-0.148,0.651,0.746,-0.688,Cafetero,female
-0.753,-0.89,-0.372,-0.207,Cafetero,female
0.035,-0.638,-0.379,0.704,Oriento,female
-0.995,0.066,0.352,0.626,Oriento,female
0.67,-0.685,0.445,0.337,Oriento,female
0.53,0.86,0.768,-0.636,Oriento,female
0.158,-0.85,0.693,-0.133,Oriento,female
-0.733,0.854,0.001,-0.142,Oriento,female
0.524,-0.161,-0.94,-0.798,Oriento,female
0.547,-0.16,0.667,0.82,Oriento,female
0.286,0.685,-0.516,0.193,Oriento,female
-0.952,0.728,-0.843,-0.968,Oriento,female
-0.084,-0.145,-0.267,0.935,Oriento,female
0.546,0.602,-0.07,-0.154,Oriento,female
0.112,-0.953,-0.917,0.299,Oriento,female
-0.376,-0.537,-0.987,-0.297,Oriento,female
-0.572,-0.293,-0.943,-0.051,Oriento,female
-0.686,-0.857,0.2,-0.814,Oriento,female
0.11,0.807,-0.773,0.719,Oriento,female
0.85,-0.559,0.145,-0.902,Oriento,female
-0.432,0.155,0.345,-0.029,Oriento,female
0.579,-0.259,-0.293,-0.688,Oriento,female
0.933,0.574,0.805,-0.228,Oriento,female
0.773,0.067,0.984,-0.793,Oriento,female
0.822,-0.652,0.187,0.108,Oriento,female
-0.939,-0.225,-0.263,-0.942,Oriento,female
-0.396,0.928,-0.674,0.612,Oriento,female
-0.539,0.883,0.363,-0.707,Oriento,female
0.054,0.48,-0.538,0.285,Oriento,female
-0.169,-0.305,0.486,-0.493,Oriento,female
0.414,0.737,0.849,0.941,Oriento,female
-0.653,-0.41,-0.055,0.515,Oriento,female
0.839,0.964,-0.667,0.185,Oriento,female
0.304,0.808,-0.487,0.972,Oriento,female
0.515,-0.291,0.391,0.145,Oriento,female
0.336,0.889,-0.033,-0.402,Oriento,female
-0.153,0.29,0.213,-0.445,Oriento,female
0.89,0.603,-0.957,-0.364,Oriento,female
0.459,0.906,0.393,-0.957,Oriento,female
-0.799,-0.073,-0.545,-0.509,Oriento,female
-0.424,-0.678,-0.107,-0.86,Oriento,female
-0.496,0.71,0.274,-0.585,Oriento,female
0.55,-0.102,-0.489,-0.422,Oriento,female
0.941,-0.068,0.962,0.506,Oriento,female
0.656,0.961,0.687,-0.884,Oriento,female
0.009,0.985,0.692,-0.224,Oriento,female
0.385,0.629,0.547,-0.216,Oriento,female
-0.513,0.547,0.323,0.928,Oriento,female
0.376,0.41,0.85,0.235,Oriento,female
0.006,-0.057,-0.681,0.717,Oriento,female
0.792,0.04,-0.784,0.143,Oriento,female
-0.573,-0.225,0.501,-0.166,Oriento,female
-0.723,-0.888,0.597,-0.4,Oriento,female
-0.215,0.558,0.566,-0.521,Pacifica,female
-0.666,0.96,-0.886,0.478,Pacifica,female
-0.17,-0.006,-0.001,-0.556,Pacifica,female
0.34,0.479,0.787,-0.693,Pacifica,female
0.161,-0.104,0.955,0.122,Pacifica,female
0.511,-0.48,0.2,-0.297,Pacifica,female
0.128,-0.569,-0.583,-0.602,Pacifica,female
-0.441,-0.058,-0.652,-0.901,Pacifica,female
-0.938,0.655,-0.813,-0.189,Pacifica,female
-0.24,0.061,0.845,0.584,Pacifica,female
-0.653,-0.662,0.802,0.199,Pacifica,female
0.751,-0.103,0.343,-0.417,Pacifica,female
0.809,0.297,-0.089,0.649,Pacifica,female
-0.449,-0.605,0.196,0.05,Pacifica,female
0.609,0.097,0.66,-0.486,Pacifica,female
0.538,-0.052,0.87,0.815,Pacifica,female
-0.318,-0.799,-0.701,-0.672,Pacifica,female
-0.98,-0.252,0.149,0.636,Pacifica,female
0.812,-0.108,-0.076,0.699,Pacifica,female
0.982,0.971,0.758,0.508,Pacifica,female
-0.755,0.125,0.106,0.155,Pacifica,female
-0.317,-0.911,-0.921,0.484,Pacifica,female
-0.209,-0.399,-0.131,-0.677,Pacifica,female
0.119,0.702,-0.962,0.457,Pacifica,female
0.938,-0.216,-0.418,0.573,Pacifica,female
0.264,0.398,0.796,0.534,Pacifica,female
0.848,-0.644,0.152,0.462,Pacifica,female
0.019,-0.823,0.078,0.225,Pacifica,female
0.934,-0.678,0.11,0.976,Pacifica,female
-0.762,-0.98,-0.175,-0.74,Pacifica,female
-0.076,-0.92,-0.957,0.286,Pacifica,female
0.766,-0.604,-0.012,0.157,Pacifica,female
0.317,0.752,-0.899,0.324,Pacifica,female
0.493,-0.245,0.519,-0.94,Pacifica,female
-0.746,0.801,-0.336,0.097,Pacifica,female
0.518,0.388,-0.682,-0.905,Pacifica,female
-0.337,0.848,0.267,0.951,Pacifica,female
-0.042,-0.603,-0.862,-0.442,Pacifica,female
0.187,-0.676,0.395,0.283,Pacifica,female
0.69,-0.902,0.238,0.763,Pacifica,female
-0.032,-0.157,0.564,-0.002,Pacifica,female
-0.814,0.46,0.841,-0.202,Pacifica,female
-0.293,-0.371,-0.539,0.417,Pacifica,female
-0.401,-0.669,-0.894,-0.383,Pacifica,female
-0.994,-0.144,0.3,-0.383,Centro,male
